text,label,date,score,ct_retweets,ct_likes,ct_comments
all i can say for idiots on the right and the left who are buying this bullshit hahahaha you are dumber than dogshit ,1,2021-01-23,0.878,34,174,40
 juelz santanas age in 2002 juelz santana was 18 years old then came february 18th which makes juelz turn 19 making songs with the diplomats the third neff to be signed to cam s label under roc a fella in 2003 he was 20 years old coming out with his own singles santana s town and down so yes he is born in 1983 he really is how could he be older then lloyd banks and how could he be 22 when his birthday passed the homie neff is 23 years old 1983 2006 juelz death god forbid if your thinking about that equals 23 go to your caculator and stop changing his year of birth my god ,0,2021-01-29,0.047,179,227,33
 re considering 1st paragraph edit i don t understand the reasons for s recent edit of this article not that i m sure that the data are necessarily wrong rather i m persuaded that the strategy of introducing academic honors in the first paragraph is an unhelpful approach to this specific subject i note that articles about other sitting justices have been similarly enhanced and i also believe those changes are no improvement in support of my view that this edit should be reverted i would invite anyone to re visit articles written about the following pairs of jurists a1 benjamin cardozo a2 learned hand b1 john marshall harlan b2 john marshall harlan ii the question becomes would the current version of the wikipedia article about any one of them or either pair be improved by academic credentials in the introductory paragraph i think not perhaps it helps to repeat a wry argument kathleen sullivan of stanford law makes when she suggests that some on the harvard law faculty wonder how antonin scalia avoided learning what others have managed to grasp about the processes of judging i would hope this anecdote gently illustrates the point less humorous but an even stronger argument is the one clarence thomas makes when he mentions wanting to return his law degree to yale at a minimum i m questioning this edit it deserves to be reconsidered ,0,2021-02-04,0,34,213,23
 this shit so hard ,1,2021-02-10,0.684,41,427,13
radial symmetry several now extinct lineages included in the echinodermata were bilateral such as homostelea or even asymmetrical such as cothurnocystis stylophora ,0,2021-02-16,0.398,209,430,39
you sir are my hero any chance you remember what page that s on ,0,2021-02-22,0.331,85,265,14
the mitsurugi point made no sense why not argue to include hindi on ryo sakazaki s page to include more information ,0,2021-02-28,0.31,185,351,12
 im a nasty ass freak when i like you ,1,2021-03-06,0.598,376,291,37
 congratulations from me as well use the tools well talk ,0,2021-03-12,0.229,336,67,34
redirect talk voydan pop georgiev chernodrinski,0,2021-03-18,0.497,171,440,25
don t mean to bother you i see that you re writing something regarding removing anything posted here and if you do oh well but if not and you can acctually discuss this with me then even better i d like to ask you to take a closer look at the premature wrestling deaths catagory and the men listed in it surely these men belong together in some catagory is there anything that you think we can do with the catagory besides delting it ,0,2021-03-24,0.199,202,161,40
 i m sorry cough wake your fucking ass up ,1,2021-03-30,0.502,335,62,36
i m not cheering for him just that he fucked up ,1,2021-04-05,0.683,256,86,20
bbq be a man and lets discuss it maybe over the phone ,0,2021-04-11,0.486,140,456,26
if u say baseball is boring than your an ignorant dumb ass tbh,1,2021-04-17,0.603,238,147,26
 this horse faced ugly mother fucker needs to be exposed and made viral asap  and share post on facebook and dro ,1,2021-04-23,0.991,127,417,29
 more i can t make any real suggestions on improvement i wondered if the section statistics should be later on or a subsection of types of accidents i think the references may need tidying so that they are all in the exact same format ie date format etc i can do that later on if no one else does first if you have any preferences for formatting style on references or want to do it yourself please let me know there appears to be a backlog on articles for review so i guess there may be a delay until a reviewer turns up it s listed in the relevant form eg wikipedia good article nominations ,0,2021-04-29,0.469,186,86,30
 ok but it will take a bit of work but i can t quite picture it do you have an example i can base it on the duck ,0,2021-05-05,0.315,384,65,35
sorry if the word nonsense was offensive to you anyway i m not intending to write anything in the article wow they would jump on me for vandalism i m merely requesting that it be more encyclopedic so one can use it for school as a reference i have been to the selective breeding page but it s almost a stub it points to animal breeding which is a short messy article that gives you no info there must be someone around with expertise in eugenics 93 161 107 169,0,2021-05-11,0.127,273,111,14
breasty mature i d like to fuck kali kavalli receives her lovely vagina pounded ,1,2021-05-17,0.582,259,487,31
just wondering are we allowed to slag off today cos he s been fucking atrocious as has the 70 million pound man behave ,1,2021-05-23,0.903,218,423,24
fucking ,1,2021-05-29,0.622,258,156,28
before you start throwing accusations and warnings at me lets review the edit itself making ad hominem attacks isn t going to strengthen your argument it will merely make it look like you are abusing your power as an admin now the edit itself is relevant this is probably the single most talked about event int he news as of late his absence is notable since he is the only living ex president who did not attend that s certainly more notable than his dedicating an aircracft carrier i intend to revert this edit in hopes of attracting the attention of an admin that is willing to look at the issue itself and not throw accusations around quite so liberally perhaps if you achieve a level of civility where you can do this we can have a rational discussion on the topic and resolve the matter peacefully ,0,2021-06-04,0.12,191,319,25
 syrian army is winning why the hell would they gas anything give me a fucking break,1,2021-06-10,0.653,257,44,15
 it s always been bashar assad and his thugs masquerading as a government going on a seemingly ufett ,1,2021-06-16,0.725,50,186,24
 good to know about me yeah i m studying now deepu ,0,2021-06-22,0.125,69,150,35
ain t nothin but a medicnal baby two locked out niggas so we re crazy ,1,2021-06-28,0.524,87,356,39
hey man i m really not trying to edit war it s just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page he seems to care more about the formatting than the actual info ,0,2021-07-04,0.465,98,332,10
hey what is it talk what is it an exclusive group of some wp talibans who are good at destroying self appointed purist who gang up any one who asks them questions abt their anti social and destructive non contribution at wp ask sityush to clean up his behavior than issue me nonsensical warnings ,0,2021-07-10,0.483,372,63,22
 looks like a coward to me what animal has he murdered,1,2021-07-16,0.593,62,66,10
 coquelin is fucking garbage,1,2021-07-22,0.568,368,40,13
 regarding your recent edits once again please read wp filmplot before editing any more film articles your edits are simply not good with entirely too many unnecessary details and very bad writing please stop before you do further damage the 45 ,0,2021-07-28,0.108,200,307,25
 fair use rationale for image wonju jpg thanks for uploading image wonju jpg i notice the image page specifies that the image is being used under fair use but there is no explanation or rationale as to why its use in wikipedia articles constitutes fair use in addition to the boilerplate fair use template you must also write out on the image description page a specific explanation or rationale for why using this image in each article is consistent with fair use please go to the image description page and edit it to include a fair use rationale if you have uploaded other fair use media consider checking that you have specified the fair use rationale on those pages too you can find a list of image pages you have edited by clicking on the my contributions link it is located at the very top of any wikipedia page when you are logged in and then selecting image from the dropdown box note that any fair use images uploaded after 4 may 2006 and lacking such an explanation will be deleted one week after they have been uploaded as described on criteria for speedy deletion if you have any questions please ask them at the media copyright questions page thank you talk contributions unspecified source for image wonju jpg thanks for uploading image wonju jpg i noticed that the file s description page currently doesn t specify who created the content so the copyright status is unclear if you did not create this file yourself then you will need to specify the owner of the copyright if you obtained it from a website then a link to the website from which it was taken together with a restatement of that website s terms of use of its content is usually sufficient information however if the copyright holder is different from the website s publisher then their copyright should also be acknowledged as well as adding the source please add a proper copyright licensing tag if the file doesn t have one already if you created took the picture audio or video then the tag can be used to release it under the gfdl if you believe the media meets the criteria at wikipedia fair use use a tag such as or one of the other tags listed at wikipedia image copyright tags use see wikipedia image copyright tags for the full list of copyright tags that you can use if you have uploaded other files consider checking that you have specified their source and tagged them too you can find a list of files you have uploaded by following this link unsourced and untagged images may be deleted one week after they have been tagged as described on criteria for speedy deletion if the image is copyrighted under a non free license per wikipedia fair use then the image will be deleted 48 hours after if you have any questions please ask them at the media copyright questions page thank you talk contributions ,0,2021-08-03,0.493,170,483,24
 oh great the person who took twelve minutes in the restaurant bathroom was a sweaty chef who clearly just took a shit ,1,2021-08-09,0.803,157,439,17
oh and the girl above started her arguments with me she stuck her nose where it doesn t belong i believe the argument was between me and yvesnimmo but like i said the situation was settled and i apologized thanks ,0,2021-08-15,0.192,165,423,10
 this fucked me up ,1,2021-08-21,0.835,84,160,13
i immediately regret my decision wearing a onsie to come to maccies getting the worst looks like i dont know i look like a twat ,1,2021-08-27,0.979,305,233,22
alignment on this subject and which are contrary to those of dulithgow,0,2021-09-02,0.485,268,109,38
your vandalism to the matt shirvington article has been reverted please don t do it again or you will be banned ,0,2021-09-08,0.3,373,272,39
 my fucking queen ,1,2021-09-14,0.829,279,391,35
 every fucking time ,1,2021-09-20,0.776,135,305,10
d aww he matches this background colour i m seemingly stuck with thanks talk 21 51 january 11 2016 utc ,0,2021-09-26,0.288,87,332,35
 grabbing willing p ssies is not sexual assault that s why is funny it s true and he s ,1,2021-10-02,0.919,345,374,34
how could i post before the block expires the funny thing is you think i m being uncivil ,0,2021-10-08,0.404,373,323,16
 asking if i m mad pisses me off why you putting me on the spot nigga,1,2021-10-14,0.828,378,459,33
 snowflakes are not always symmetrical under geometry it is stated that a snowflake always has six symmetric arms this assertion is simply not true according to kenneth libbrecht the rather unattractive irregular crystals are by far the most common variety someone really need to take a look at his site and get facts off of it because i still see a decent number of falsities on this page forgive me im new at this and dont want to edit anything ,0,2021-10-20,0.385,117,217,24
 a barn star for you  the real life barn star lets us be the stars ,0,2021-10-26,0.147,154,385,37
 y all be sounding so damn dumb n ignorant on this bitch ,1,2021-11-01,0.846,215,473,11
 who all fucking with ,1,2021-11-07,0.821,395,275,38
 bruh stupid as hell ,1,2021-11-13,0.64,354,262,34
a nasty milf sucking cock eagerly ,1,2021-11-19,0.938,394,40,33
explanation why the edits made under my username hardcore metallica fan were reverted they weren t vandalisms just closure on some gas after i voted at new york dolls fac and please don t remove the template from the talk page since i m retired now 89 205 38 27,0,2021-11-25,0.226,103,104,38
 a fucking queen ,1,2021-12-01,0.914,397,374,18
unfollow me now because this is all im tweeting about for the rest of my fucking life ,1,2021-12-07,0.649,39,221,28
sometimes ladies want to get dirty and drenched in cum ,1,2021-12-13,0.888,186,87,27
 how fucking dare you disrespect me like this,1,2021-12-19,0.63,76,139,28
there s no need to apologize a wikipedia article is made for reconciling knowledge about a subject from different sources and you ve done history studies and not archaeology studies i guess i could scan the page e mail it to you and then you could ask someone to translate the page ,0,2021-12-25,0.411,233,452,13
yes because the mother of the child in the case against michael jackson was studied in here motives and reasonings and judged upon her character just as harshly as wacko jacko himself don t tell me to ignore it and incriminate myself i am going to continue refuting the bullshit that jayjg keeps throwing at me 18 01 16 jun 2005 utc ,0,2021-12-31,0.123,386,85,30
bye don t look come or think of comming back tosser ,0,2022-01-06,0.017,207,423,34
 the signpost 24 september 2012 read this signpost in full single page unsubscribe ,0,2022-01-12,0.065,81,122,38
